,Location,Scene,Text,Speaker,Season
25164,Mrs Wolowitz’s dining room,,Hey you already ruined Thor give it a rest.,Sheldon,8
25165,A Wedding Chapel,,Good. Don’t do it.,Sheldon,9
25166,Sheldon and Amy’s apartment,,I just thought it would make you happy.,Penny,10
25167,Sheldon and Leonard’s apartment,,Should I say something? I feel like I should say something.,Leonard,1
25168,Sheldon and Amy’s apartment,,Well Sheldon turns out we didn’t need you after all.,Leonard,10
25169,The comic book store,,What’s that?,Howard,3
25170,The cafeteria,,Good morning Friend Howard. Friend Raj. I see you gentlemen are enjoying beverages. Perhaps they would taste better out of these.,Sheldon,4
25171,The Cheesecake Factory,,And Orcs!,Leonard,1
25172,Penny’s apartment,,Good-bye Emily. That was rough you guys.,Raj,9
25173,The cafeteria,,Hello? What do you mean you found my dog? She’s with my friends. Is she okay? Oh thank you. Uh just text me your address I’m on my way. Oh and if she’s hungry go ahead and feed her. But do not give her anything starchy. She’s having risotto for dinner.,Howard,6
25174,Sheldon and Leonard’s apartment,,At least I didn’t have to invent twenty-six dimensions just to make the math come out.,Leonard,1
25175,The comic book store,,I wish we could do more stuff without Sheldon.,Raj,9
25176,The stairwell,,,Howard,6
25177,The cinema,,Check.,Raj,9
25178,Leonard’s car,,It’s not what we planned but this isn’t so bad right?,Leonard,9
25179,The apartment,,Thank you.,Leonard,9
25180,Penny’s apartment,,There’s this thing online you put yourself on tape and just send it in anyone can do it.,Leonard,7
25181,Penny’s apartment,,Nothing. Just wanted to see if you were both okay.,Sheldon,3
25182,The Cheesecake Factory,,You’re wrong again. If my superpower were arrogance my name would be Dr. Arroganto.,Sheldon,4
25183,Sheldon’s bedroom,,Then there’s really no reason to live is there?,Sheldon,3
25184,A bookshop,,Hi Rebecca I’m your new friend Sheldon.,Sheldon,2
25185,Raj’s apartment,,Okay and here’s the hook. Thor and Dr. Jones. Thor and Dr. Jones. One plays with lightning the other plays with bones.,Raj,9
25186,Howard and Bernadette’s apartment,,Oh so my uh parents’ 40th anniversary’s coming up and I can’t think of a thing to get them.,Howard,8
25187,The welcoming party,,Okay that was uncalled for.,Leonard,1
25188,The funeral,,Yeah.,Leonard,7
25189,The living room,,I didn’t get a good look. Can I go again?,Howard,2
25190,The apartment,,Okay well I ju… I think it’s important to remember that we move at a pace that is our speed and… oh shoot I had it!,Leonard,2
25191,The goth club,,Yeah I’ve been there as well. I like your tee-shirts with the little pocket.,Raj,3
25192,The lobby,,,Howard,3
25193,Penny’s apartment,,And you think it’s better than Tennessee Williams?,Penny,4
25194,The apartment,,Oh balls.,Penny,3
25195,Lobby of the apartment building," Howard, Raj, Sheldon and Leonard enter in combat gear, covered in blue paint,",You know we were annihilated by our own incompetence and the inability of some people to follow the chain of command.,Sheldon,1
25196,The comic book store,,He’s not that bad. Hey Stuart got any plans Thursday night?,Leonard,9
25197,Sheldon and Leonard’s apartment," Sheldon, Leonard, Howard and Raj are using laptops, All are wearing microphone headsets,",We can split it two two and two.,Howard,1
25198,The university cafeteria,,My good man dereliction of duty in the face of the enemy is a court-martial offense.,Sheldon,2
25199,A restaurant,,Oh yeah no. Turns out that Raj and Howard had to work and Sheldon had a colonoscopy and he hasn’t quite bounced back yet.,Leonard,1
25200,The apartment," Sheldon is on the sofa, using his laptop, He is wearing a headset,",Yes I can’t get my stupid door open.,Penny,2
25201,The apartment,,Sounds perfect.,Penny,8
25202,The International Space Station,,Peering through his telescope at the birth of the cosmos.,Howard,6
25203,A shed on the paintball range,,That could have been about anyone. Besides you have nothing to worry about because now I’m the dusky half of Koothrapenny.,Howard,5
25204,Howard’s workshop,,I’m an astrophysicist. The stars don’t take a day off.,Raj,9
25205,The apartment,,Ah you’re going off the grid.,Leonard,4
25206,The apartment," Monte is in pieces on the table,",Just a toy robot?,Sheldon,2
25207,The bathroom,,Mm I don’t know. I get a lawyer he gets a lawyer it’s just easier to stand behind the tape.,Leonard,4
25208,Penny’s apartment,,No it wasn’t. Uh now let’s tabulate the results of the experiment. I think it’s safe to say that you’re not in love with me and I’m not in love with you. And psychology has once again proved itself the doofus of the sciences.,Sheldon,8
25209,The apartment,,That is apt and amusing. I think I shall share that with Amy Farrah Fowler. She’ll appreciate the witticism.,Sheldon,4
25210,The entrance lobby," Sheldon is sitting on the bottom step using his laptop, Penny comes down the stairs,",Leslie Winkle. Of all the overrated physicists in all the labs in all the world why does it have to be Leslie Winkle?,Sheldon,2
25211,The apartment,,Do you want him back?,Penny,10
25212,Leonard and Sheldon, Inside Leonard’s car,To mend her broken heart. This situation is much less complicated. There’s some kind of dispute between Penny and her ex-boyfriend as to who gets custody of the TV. She just wanted to avoid having a scene with him.,Leonard,1
25213,The gym,,I’m looking forward to him teaching us glove-slapping.,Sheldon,9
25214,The apartment,,No.,Sheldon,4
25215,Penny’s apartment,,Star Wars. They get all cranky when you mix the two up.,Penny,5
25216,The Cheesecake Factory," Howard enters,",No. I’m looking for a hookup.,Howard,3
25217,Entering the lobby of the building,,All right.,Sheldon,2
25218,Sheldon and Amy’s apartment,,So let’s hear from some people who were there at the very start. How Howard flashback sounds.,Sheldon,10
25219,A restaurant,,So do they have a name for a first date with someone you used to go out with?,Leonard,5
25220,The laundry room,,Oh I’m working on time-dependent backgrounds in string theory specifically quantum field theory in D-dimensional de Sitter space.,Sheldon,4
25221,Leonard and Penny’s bedroom,,Hey.,Leonard,9
25222,Mexico,,It’s been around for years. It’s like folk music but with a sci-fi/fantasy theme.,Howard,9
25223,The hallway," Howard knocks on Penny’s door with his bow,",Yes. Yes it is. Okay well um come on in.,Penny,1
25224,Howard’s car,,Well when someone looks at your dating profile the first thing they see is your picture. I just want to make sure you look fun and full of life and not like a body they just pulled out of the river. All right here we go and smile. Okay uh-uh that one’s in the bank. How about this? Turn away and then turn back into it. But when you do imagine the camera is the girl you want to meet.,Howard,7
25225,The cafeteria,,Well that’s not acceptable. I mean I’m her boss. She needs to be solely focused on my needs not distracted by your pasty androgynous brand of sexuality.,Sheldon,6
25226,A bar in Texas,,I beg to differ. I used to live in those genitals. And if someone wants to move into my old room I should at least get a vote.,Sheldon,7
25227,The Cheesecake Factory,,Not where I can hear you guys.,Penny,4
25228,The welcoming party,,Alright why don’t we do it your way then? We’ll arrange for this girl to move in across the hall from Dennis so he can pathetically moon over her for months on end.,Raj,1
25229,The stairwell,,It’s surprising because I generally don’t feel comfortable around well anyone.,Sheldon,2
25230,An airplane,, Howard?,Sheldon,7
25231,The apartment,,Wait wait who’s gonna break it to the penguin?,Penny,10
25232,Penny’s bedroom,,Hang on. Penny do you have plans for dinner?,Leonard,5
25233,The comic book store,,Well if Wil Wheaton and Stuart win their match and we beat lonely Larry and Captain Sweatpants in the next round we’ll face off for the championship.,Raj,3
25234,Ground floor hallway of the apartment building," Leonard is signing for the delivery,",I hardly think so.,Sheldon,1
25235,Penny’s apartment,,No.,Penny,4
25236,The apartment,,Really Leonard? You’re just going to try to recycle Adler’s doctrine of the inferiority complex? I could probably get that from the woman at Ralph’s. And she’d let me taste some pieces of cheese for free.,Sheldon,3
25237,Penny," Sheldon, Raj and Leonard stand in the apartment doorway, Romantic music plays from Penny’s apartment door,",Look I grew up on a farm okay from what I heard they’re either having sex or Howard’s caught in a milking machine. Do you mind if I stay here tonight?,Penny,1
25238,A restaurant,,You’re welcome. How’s your fish?,Leonard,3
25239,The cafeteria,,I can’t believe you kissed my sister with moth mouth.,Raj,4
25240,Kingman Police Station,,Well maybe you should. There’s lots of books called Sherlock Holmes and there’s no books called Officer Hernandez.,Sheldon,8
25241,The cafeteria,,Hey bud.,Howard,9
25242,The pub,,Let’s just take the test.,Penny,8
25243,Howard and Bernadette’s kitchen,,Without me.,Howard,10
25244,The apartment,,Yeah sure.,Leonard,4
25245,Leonard’s car,,This isn’t funny anymore. Just say no so we’re done with this. Will you marry me or not?,Penny,7
25246,Howard’s mother’s house,,Are you here alone?,Howard,7
25247,Mrs Wolowitz’s kitchen,,This is great.,Howard,8
25248,Penny’s apartment,,Kind of like Sheldon’s ant farm.,Penny,8
25249,The apartment,,We are young and fun.,Leonard,9
25250,Leonard’s car,,Did you ever do anything like this since we’ve been?,Leonard,8
25251,Sheldon’s bedroom," There is a knock on the door, Penny enters,",Really? Boy you’d think you could trust a horde of Hungarian barbarians.,Penny,2
25252,The living room,,No I made him up. I think you’d call him Lee.,Sheldon,1
25253,Penny’s apartment,,Who is it?,Penny,3
25254,The apartment,,Hello everyone. I brought my new friend Barry Kripke home for dinner.,Sheldon,2
25255,Bernadette’s bedroom,,You’re nervous? I’ve been stress-eating for four days. Look at me. I’m wearing my fat pants.,Howard,5
25256,Later that night," Leonard is sitting in the time machine, turning the lights on and off, Sheldon enters,",Because I want to go back and keep myself from getting a time machine.,Leonard,1
25257,Leonard’s car,,Hmm?,Leonard,8
25258,Outside Penny’s door," Sheldon stands looking at his watch with his hand poised to knock, At the right moment he starts knocking,",Fine cheeseburger.,Penny,2
25259,The apartment,,Actually our friendship group is at capacity. But if anybody drops out you’re at the top of the list. Unless it’s Raj in which case we’ll probably get a person of colour.,Sheldon,10
25260,The cafeteria,,Maybe. If it did I’d be famous. I’d be on the cover of magazines. And then instead of living alone in my tiny apartment I’d have a big mansion.,Howard,4
25261,Penny’s apartment,,All right. I don’t want to but at least that makes sense.,Sheldon,6
25262,Howard and Bernadette’s kitchen,,How do you know?,Howard,9
25263,Penny’s apartment,,Oh I don’t know. Who cares? Look at me.,Leonard,7
25264,The apartment,,No problem I’m very skilled at postponing intercourse. So I guess I’ll call you and we’ll arrange another evening.,Leonard,2
25265,Howard and Bernadette’s apartment,,Yeah she seems friendly and easy to… never mind she’s gone. You know maybe talking to people is too hard.,Howard,7
25266,Penny’s apartment,,Feelings? What am I a hippie at a love-in? No. The problem is she laid out a series of logical arguments that I couldn’t refute.,Sheldon,6
25267,Howard and Bernadette’s house,,You know he won’t be looking at other girls.,Raj,9
25268,The aquarium,,I’ll start you off easy. Electric eel pufferfish shrimp.,Sheldon,9
25269,Sheldon and Amy’s apartment,,Come on even you checked your e-mail during the eulogy.,Penny,10
25270,The university cafeteria,,If you were standing behind me nagging I might.,Howard,2
25271,The apartment,,,Howard,8
25272,Inside the cheesecake factory freezer,,I can’t press any of the buttons with my gloves. Oh son of a bitch!,Leonard,2
25273,The apartment,,Thank you.,Penny,3
25274,The apartment," Sheldon is on his laptop,",Bifurcated uvula Sheldon!,Leonard,4
25275,The stairwell,,Well now we know next time we go to the farmers’ market the order is petting zoo first then buy vegetables.,Penny,8
25276,Penny’s apartment,,Another football game?,Leonard,3
25277,The apartment," Leonard enters, There is a strange man sitting on the sofa,",Leonard this is Tom.,Sheldon,2
25278,The Cheesecake Factory,,Well hey we’re grown-ups. We can still be friends.,Leonard,5
25279,The conference room,,And if I may get serious for a moment hosting this show has been one crazy ride. But with all its ups and downs I wouldn’t give it up for the world. Except for now when I’m giving it up. Before I sign off I’d uh I’d like to share with you all one last use for a white flag. It’s good for times like this. Good night.,Sheldon,8
25280,A few moments later,,I believe it means that the U.S. Government is going to expel him from the country. He could then either return to his native India emigrate to another country that’s willing to accept him or wander the high seas as a stateless pirate. Personally I’d choose pirate.,Sheldon,3
25281,The apartment,,It actually looks good Sheldon.,Leonard,7
25282,The telescope room,,Yeah maybe that is something. How did you find that?,Raj,9
25283,Howard and Bernadette’s apartment,,I haven’t been on a job interview in years. I’m really nervous.,Penny,8
25284,The apartment,,Thirty seconds.,Raj,3
25285,The apartment,,May.,Penny,9
25286,The Cheesecake Factory,,Oh thank you very much. Come back soon. With the other half of my tip. Hey Sheldon what are you doing here?,Penny,3
25287,The cafeteria,,Well uh I can’t believe you used Sheldon’s toothbrush.,Leonard,4
25288,The apartment,,I’m a little jealous of the people who get to do it.,Howard,3
25289,Raj’s apartment,,,Howard,5
25290,The apartment," Leonard is attaching something to a lamp,",Oh. You know you can just get one of those universal remotes at Radio Shack they’re really cheap.,Penny,1
25291,The apartment,,jISovbe’ ,Leonard,10
25292,The bowling alley,,Well well well. If it isn’t Wil Wheaton the Green Goblin to my Spider-Man the Pope Paul the fifth to my Galileo the Internet Explorer to my Firefox.,Sheldon,3
25293,Howard and Bernadette’s house,,Ooh how about white-water rafting?,Penny,10
25294,Howard’s old bedroom," A phone is ringing,",Okay I guess.,Raj,6
25295,Penny’s car," Amy is now in the back seat,",No.,Sheldon,4
25296,The downstairs lobby,,What was that?,Penny,1
25297,The apartment,,You know what they all do right?,Sheldon,8
25298,The apartment,,Way to think outside but pressed right up against the box Sheldon.,Leonard,2
25299,The apartment,,Well sometimes you can get free food and Wi-Fi from the neighbours. Just know you might have to marry one of ’em.,Penny,10
25300,The apartment,,Sheldon I’m gonna get the surgery it’s no big deal. End of story.,Leonard,8
25301,The same," only Sheldon and Leonard are present, Sheldon is practicing, There are sounds of squealing tyres and brakes and general panic and mayhem,",No. I quit. ,Sheldon,2
25302,The University cafeteria,,Oh no. I hope everything’s okay.,Howard,4
25303,The cafeteria,,I think you’d be pleased to hear that this morning in the parking garage I saw this oil stain on the ground that was shaped just like my ex-girlfriend Lucy and I didn’t get upset at all.,Raj,7
25304,A gift shop,,You put no thought into that.,Sheldon,2
25305,Leonard’s room,,Okay good night.,Leonard,4
25306,Raj’s apartment,,Okay okay the point is that we accept your apology.,Raj,9
25307,The apartment,,Okay so so you don’t want to marry me?,Penny,7
25308,The tattoo parlour," Howard is laying down, preparing to have a tattoo on his lower back,",When we tell this story let’s end it differently.,Raj,3
25309,Leaving the apartment,,Oh dude I wish you had said something before I pounded that last Red Bull.,Howard,3
25310,Penny’s apartment,,A… are you talking to me?,Penny,1
25311,Raj’s apartment,,I know.,Leonard,8
25312,Leonard’s lab,,What the hell is eighth base?,Leonard,3
25313,The cafeteria,,,Howard,5
25314,Raj’s apartment,,I appreciate the offer but if things don’t work out with you two I’m swooping in on her like a vulture.,Howard,10
25315,The apartment,,Hee-hee just classic.,Leonard,1
25316,Raj’s apartment,,,Howard,4
25317,Bernadette’s car,,What? No.,Raj,10
25318,The bathroom,,I asked if you were in the shower but that’s moot now.,Sheldon,4
25319,Amy’s apartment,,Well I should hope so. I don’t see anyone else banging on this door to put up with your nonsense. Not even a good-bye? You see that’s the kind of thing that makes people think you’re weird. Poor kid. She just doesn’t see it.,Sheldon,7
25320,The apartment,,I spent so much of my childhood at that hospital. When I was 12 I got to ride there in a helicopter.,Sheldon,2
25321,The apartment," the living room,",Hey guys.,Penny,1
25322,The apartment,,Okay we can’t keep explaining everything. Read that book we got you.,Penny,4
25323,Penny," Sheldon, Raj and Leonard stand in the apartment doorway, Romantic music plays from Penny’s apartment door,",Well first we don’t have house guests frankly if I could afford the rent I’d ask you to leave.,Sheldon,1
25324,The apartment,,Careful it’s that kind of sass that can get a person uninvited to this year’s Who Con.,Sheldon,5
25325,The lab,,Go go go go!,Leonard,2
25326,The apartment,,Don’t yell at me. I’m not manufacturing. I’m just Web design.,Leonard,2
25327,The Cheesecake Factory,,Yes.,Sheldon,3
25328,The apartment,,Oh balls.,Penny,3
25329,The parking garage,,Finally something breaks our way.,Sheldon,9
25330,The laundry room,,No. She helped Barry Kripke make an advancement in string theory.,Sheldon,8
25331,The Physics Bowl,,Well it’s not what he said.,Sheldon,1
25332,Raj’s apartment,,Hey I was being hypothetical okay? I would never marry you.,Howard,10
25333,The stairwell,,Why you guys going somewhere?,Penny,5
25334,The apartment,,My Rabe-what-ly?,Penny,3
25335,The apartment," Leonard is playing an X-Box game,",,Howard,1
25336,Sheldon and Amy’s apartment,,Well Leonard wants me to do more stuff like that with him so I thought maybe this year I’d tag along.,Penny,10
25337,Raj’s car,,Emily listen I’m sorry but I can’t come by.,Raj,9
25338,The same,,One Ring to find them.,Raj,3
25339,The apartment," Leonard is trying to wash the paint off Sheldon’s seat,",You think he’ll notice?,Penny,2
25340,Sheldon’s bedroom,,Now let me see you feel bad for lying and staying in Detroit longer than you needed to.,Sheldon,9
25341,The comic book store,,Can I bring Leonard?,Penny,3
25342,Outside Penny’s apartment,,Um… she distracted me. I told you Penny I don’t have time for your nonsense I have important things to do.,Sheldon,2
25343,The apartment," Leonard and Leslie are kissing,",Thank you.,Leonard,2
25344,The cafeteria," Sheldon laughs to himself,",Give me one circumstance in which that would be useful.,Leonard,5
25345,The apartment," Halo night,",Now Raj kill Sheldon.,Leonard,1
25346,The apartment,,But it’s beautiful.,Howard,9
25347,The apartment," Sheldon is making a video,",No I’m a little rattled. But like the flag over Fort Sumter I’m still here. And take two. Hello. I’m Dr. Sheldon Cooper and welcome to the premiere episode of Sheldon Cooper Presents Fun with Flags. Over the next 52 weeks you and I are going to explore the dynamic world of vexillology.,Sheldon,5
25348,The apartment,,And I like to think I helped.,Howard,9
25349,Sheldon and Amy’s door,,Yes we’re fine.,Penny,10
25350,The apartment,,It’s okay you can owe me.,Leonard,4
25351,The apartment,,Mother warrior-princess franchise owner I hear glass ceilings shattering all over town.,Sheldon,6
25352,The park,,Sorry won’t bring their kites down. Ow! String burn! String burn!,Sheldon,3
25353,The apartment,,Hi!,Penny,3
25354,A gymnasium,,Ooh this is exciting. We’re innovating. I feel like we’re in the Facebook movie.,Howard,8
25355,The casino bar,,Okay great. Um… uh the thing is we’ve got this friend and he’s kind of down in the dumps and we thought that maybe you could cheer him up.,Leonard,2
25356,The apartment stairwell,,Anyway to this day I still can’t see a box of crayons without crossing my legs.,Penny,6
25357,The apartment,,Howard you in on this?,Leonard,7
25358,The apartment,,Yes.,Penny,2
25359,The apartment,,Stan Lee.,Leonard,3
25360,Amy’s laboratory,,You know what this place needs? A suggestion box.,Sheldon,5
25361,The apartment,,Okay. Penny two of the brightest stars in the night sky are Altair and Vega. And it is said they were deeply in love but forever separated by the celestial river of the Milky Way.,Raj,7
25362,The cafeteria,,C’mon Raj how am I supposed to know who she’s attracted to. Or was attracted to. Or who she might be attracted to. In the future.,Leonard,4
25363,The cafeteria,,For science.,Sheldon,4
25364,Mrs Davis’ office,,That’s the one. I believe you went last so uh please?,Sheldon,8
25365,Penny’s apartment,,I can laugh about it now.,Penny,6
25366,The paintball range,,So who’s up for a movie?,Howard,2
25367,The living room," Howard on his laptop,",Oh Penny you don’t want to get into it with Sheldon. The guy is one lab accident away from being a supervillain.,Leonard,2
25368,The apartment," Leonard is sneaking back in,",It’s customary when using the rest room at a retail establishment to make a small purchase. Did you?,Sheldon,5
25369,The lab,,Mm. Last night I had a dream we got so rich from the app you and I bought matching side-by-side mansions. But there was a secret tunnel connecting your front yard to my back yard. What do you think that means?,Howard,4
25370,The Cheesecake Factory,,We don’t. This is a disturbing aberration.,Sheldon,1
25371,The apartment," Sheldon is on the sofa, using his laptop, He is wearing a headset,",No Sheldon I’d rather sit on this freezing cold floor sobbing like a three year-old.,Penny,2
25372,Outside Howard’s house," Leonard rings bell,",The volcano thing? No.,Leonard,4
25373,The cafeteria,,I’ll tell you exactly what you should do avoid the presumption of the Terran sensory input paradigm.,Sheldon,8
25374,The university cafeteria,,Dude that’s my sister you’re talking about.,Raj,4
25375,The apartment,,Hey everybody. This is my friend Dr. Nowitzki.,Sheldon,10
25376,Raj’s apartment,,Thank you Howard.,Raj,10
25377,The apartment,,Oh we could set it up like a scavenger hunt where the last puzzle gives the winner Sheldon’s contact information.,Howard,3
25378,The university cafeteria," Other end of the phone call,",I’m curious what part of America is that accent from?,Raj,2
25379,Leonard’s car,,I I think he wants us to pull over.,Raj,9
25380,The apartment,,Still haven’t heard from her?,Penny,8
25381,The lobby,,What’s wrong Superman? Locked out of your big ice thingy?,Penny,2
25382,Sheldon and Amy on skype,,That’s the only kind of admonishing I do.,Sheldon,10
25383,Outside Howard’s house,,I’m going to be 30 years old and I have no one in my life to love me. I’m such a basket case I can’t even talk to a woman without having alcohol in my body.,Howard,4
25384,The downstairs lobby,,It’s not a big deal just a one night showcase but they invite a lot of casting people and agents so you never know.,Penny,1
25385,A cowboy bar,,You understood the math?,Leonard,10
25386,Howard’s bedroom,,Okay. You want to start loading this stuff into the truck?,Leonard,6
25387,Outside the building,,Sweetie I know you’re trying to make me feel better and I love you for that but it’s making me feel worse and I kind of hate you. This isn’t your car.,Penny,7
25388,The apartment,,That’s very mature of you.,Howard,9
25389,Later,,Oh you’re singing. Well I’m sorry.,Sheldon,9
25390,The cafeteria,,Oh SETI the Search for Extraterrestrial Intelligence. You should introduce him to Sheldon. The search is over.,Leonard,6
25391,The apartment,,Yeah.,Penny,10
25392,The Mars Rover control room,,Oh snap.,Raj,2
25393,The university cafeteria,,We hide behind the Dumpsters in the parking lot and ambush people when they come to pee.,Howard,2
25394,Raj’s apartment,,What are you doing right now?,Raj,5
25395,Sheldon and Amy’s apartment,,Hmm. You see your words sound reasonable but your face looks angry. Help me out here this is not where I shine.,Sheldon,10
25396,The apartment,,Or we could do something we’ll all enjoy like play a board game.,Leonard,10
25397,The apartment,,Sweet!,Raj,6
25398,Leonard’s car,,Sure.,Leonard,4
25399,The stairwell,,I’d like to do the math.,Sheldon,2
25400,Penny’s apartment,,Yeah and actually I drink Sauvignon Blanc.,Penny,8
25401,The stairwell,,Yeah well who wants to spend the whole weekend running around a bunch of pretend planets battling made up monsters. That’s for babies.,Sheldon,5
25402,Penny’s apartment,,You can’t get fired even if you’re bad at it?,Penny,6
25403,The apartment,,Hey you guys let Stuart live with you. Why not Raj too?,Leonard,10
25404,The stairwell,,What and you think I want to see a documentary about aluminium can recycling?,Penny,9
25405,A restaurant,,Leonard just realized that Penny’s been hiding him from her friends because he’s a tiny little man who flies kites.,Howard,3
25406,The Cheesecake Factory,,Oh yeah? What if the earth was in danger and the only way to save it was to take a shower in the locker room and let other guys see you naked?,Howard,4
25407,Sheldon’s classroom,,What are you doing?,Sheldon,8
25408,Amy’s lab,,A cross we all must bear. You know in difficult moments like this I often turn to a force greater than myself.,Sheldon,4
25409,The hallway," Sheldon is opening the apartment door, Penny comes running up stairs,",Oh I see. Penny I’m not sure I’m comfortable harbouring a fugitive from the 2311 North Los Robles Corporation.,Sheldon,2
25410,Sheldon’s dream,,Hey buddy. Heard you’re having a rough day. You all right?,Leonard,7
25411,The same," later, Sheldon is on his laptop, Leonard enters,",Leonard excellent I want to show you something.,Sheldon,1
25412,The apartment,,You’re just saying that.,Raj,7
25413,Bernadette’s bedroom,,,Howard,4
25414,Inside Penny’s apartment," They are laying the package down on the floor,",No.,Sheldon,1
25415,The new laboratory,,I think you were mean before you were pregnant but it’s fine. So uh instead of cleaning out the room why don’t we just decide on a theme for the nursery?,Howard,10
25416,The apartment,,Sure. What does he like?,Leonard,2
25417,The apartment," Leonard opens the door to Penny,",How’s your leg?,Penny,2
25418,Outside Penny’s door,,Well thank you.,Penny,2
25419,The apartment,,Of course I do.,Sheldon,6
25420,A shoe shop,,Yes and he never unified gravity with the other forces. If he hadn’t been such a hound dog we’d all have time machines.,Sheldon,4
25421,The comic book store,,Leonard?,Leonard,2
25422,Penny’s apartment,,A good wife would go to the store.,Sheldon,5
25423,The living room door," a fibre-optic camera emerges from underneath, We see the scene from its point of view, Cut to outside, Raj is holding a laptop, Howard is feeding the camera under the door,",Hi!,Leonard,1
25424,Howard’s lab,,Well up until now I’ve had better things to do. So what are we making today?,Sheldon,1
25425,Amy’s apartment,,I’m I’m sorry; I didn’t realize you were on a date.,Sheldon,9
25426,The apartment," The guys are playing Boggle, There is a Klingon dictionary on the table,",Aw!,Leonard,2
25427,The apartment,,You couldn’t sleep either?,Penny,9
25428,The lab,,I just want to make sure that we’re all clear standard robotic fighting league rules apply.,Leonard,2
25429,Howard and Bernadette’s kitchen,,Material Girl needs ot be retired that is your karaoke song.,Howard,10
25430,Penny’s apartment,,No. I promise I will be here when you get back. Just go help Sheldon.,Penny,3
25431,The apartment,,No they ended up calling me Sock Mouth. Because they took away my yo-yo and stuffed their socks in my mouth.,Leonard,5
25432,The comic book store,,Uh no. Oh this is Zack. He’s a friend of ours. Zack this is Stuart. He owns the store.,Leonard,4
25433,Penny’s apartment,,Well as you know I’ll be celebrating Amy’s birthday with her and I could use your assistance in helping me select the perfect gift.,Sheldon,9
25434,The apartment,,Eleven. Wait. Do I count the 200-pound Sailor Moon girl that Howard and I had a threesome with at Comic Con?,Howard,7
25435,A cinema,,Pardon me. Excuse me.,Sheldon,5
25436,The comic book store,,That is that is so good!,Howard,9
25437,Howard’s bathroom," He is in the bath,",No. We would just walk around and see what’s what.,Howard,3
25438,The cafeteria,,Hey.,Leonard,4
25439,The apartment,,Good good. And your name is on the electric bill and mine isn’t. And I’m okay with that.,Sheldon,8
25440,On the train,,I forgot my flash drive.,Sheldon,2
25441,The apartment,,Um I’m putting on lotion. Are you in or not?,Sheldon,7
25442,Howard’s workshop,,According to a recent study simply thinking about exercise even while sitting still can have physical benefits. For all you know I could be exercising right now.,Sheldon,9
25443,The telescope room,,That depends do they have Mexican food in Cuba?,Howard,10
25444,A restaurant,,Whoa it’s a little early to start dropping J-bombs don’t you think?,Leonard,5
25445,The cafeteria,,We all got the Christmas card Cinnamon.,Leonard,8
25446,Howard and Bernadette’s apartment,,Almost. Franken Berry Boo Berry Sugar Bear and the Honey Nut Cheerio bee I believe his name is Buzz.,Howard,6
25447,Howard’s workshop,,Like this?,Penny,9
25448,The funeral,,That’s true.,Leonard,7
25449,The comic book store,,Yeah take advantage of that window of opportunity before it slams shut on your little dinky.,Raj,3
25450,The hallway,,How’d you get ready so fast?,Leonard,8
25451,Penny’s apartment,,Okay answer it. Just be strong. And if she starts to cry don’t make any promises. And most importantly put it on speaker so we can hear.,Penny,9
25452,Sheldon and Amy’s door,,Yeah well you should be. Your socks were still in it. I had to throw it away. Anyway I uh trust that you’ve resolved your conflict.,Sheldon,10
25453,The university basement,,Yeah. Huh. Forty-three? What the hell does that mean?,Raj,6
25454,A park bench," Sheldon is sitting, A stranger sits next to him,",Look at the two of us. Me a highly regarded physicist. The kind of mind that comes along once maybe twice in a generation. You the common man tired from your labours as a stockbroker or vacuum cleaner salesman or bootblack. But deep down inside apparently we’re just two peas in a pod. A regular pea and the kind of pea that comes along once maybe twice in a generation. Rain. Another great equalizer. Falling on the head of the brilliant and the unremarkable alike.  Smarty-pants.,Sheldon,5
25455,The bathroom,,What are you doing in there? She can’t be in here.,Sheldon,4
25456,Howard and Bernadette’s house,,Bernie I just forwarded you a list of the top five lactation consultants in Los Angeles. I know my favourite but I’d love to hear what you think.,Raj,9
25457,The apartment,,Oh wow that doesn’t seem fair.,Penny,10
25458,The apartment,,Fine. But no more making fun of how I say tings.,Raj,7
25459,The apartment,,Mm-hmm yeah you don’t think I’m smart enough. You think I’m gonna be a liability. Even though I totally just used the word liability correctly in a sentence. Yeah.,Penny,7
25460,The clean room,,Come on.,Raj,8
25461,The bar,,Oh. Okay I see. So while he was telling you things did he mention he owns not one but two Star Trek uniforms?,Penny,5
25462,On the stairwell of the apartment building,,Well think about it it’s a product that doesn’t spoil and you’re going to be needing them for at least the next thirty years.,Sheldon,1
25463,The apartment,,Remarkable. I’m just realizing how much Leonard’s been skating by all these years.,Sheldon,4
25464,The apartment,,How’s it working out?,Leonard,10
25465,The apartment,,Leonard and Penny I’m sorry for all the trouble I’ve caused. I went to stay at Howard’s. PS Cinnamon’s with me but if you feel like messing with Sheldon tell him she’s loose in the building.,Leonard,10
25466,Penny’s apartment,,No one ever bought me drinks at a bar because my brain just popped out of my shirt.,Penny,9
25467,Leonard’s room,,What?,Leonard,4
25468,Penny’s apartment,,Wait Sheldon’s going to be there? We all promised we weren’t going to go.,Leonard,6
25469,The apartment,,Oh stop it he’ll be fine.,Penny,10
25470,The stairwell,,You can be Aquaman.,Leonard,4
25471,The apartment,,Oh! Great roll! Now you can demolish your Soviet-style cyclotron and build the large Hadron Collider.,Sheldon,3
25472,The apartment,,Uh stop selling it kid. You won.,Sheldon,9
